action,emergency_budget_type,emergency_budget_pct,emergency_cap,paths_used_in_lp,path_library_k,cycle,selected_od_count,active_od_count,PR,MLU,DB,decision_ms,exceeds_literal_K50_condition,all_od_lp_used,selected_od_lp_used,nonselected_policy,gnn_lpd_used,dqn_used_at_inference,rf_used_at_inference
EMERGENCY,percentage,60,2000,3,8,102,923,1537,0.9983603658235808,11.280827453003523,0.0068843364812699575,237.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,103,931,1551,0.9986710845970683,12.028283367890028,0.00588860800693907,195.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,104,940,1566,0.9986887045693444,11.59250532625437,0.007119710142625657,196.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,105,940,1566,0.9982894373174379,11.924511997223856,0.005629885679057043,332.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,106,923,1538,0.9975867747030963,12.675548464528594,0.0065196517592286665,188.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,107,924,1540,0.9980854779201502,12.49126525502873,0.004708186990072685,184.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,108,927,1545,0.9981225957214076,12.685948134335238,0.004639578271291165,205.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,109,924,1539,0.9972940988233309,13.5882082354983,0.012313310402047946,362.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,110,927,1544,0.9980245782799316,13.701139191714736,0.009762700579397581,192.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,111,942,1569,0.9976849035199308,14.103482892074316,0.006577215151082825,224.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,112,943,1571,0.9984768735811177,12.875876450306233,0.01317395829983894,197.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,113,951,1584,0.9975792670559067,13.76613962546396,0.003966973832027183,593.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,114,944,1573,0.9971184232079612,14.771269236407132,0.0026558421053909844,230.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,115,957,1595,0.997426144622985,14.63954348425589,0.0024679613665091692,242.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,116,950,1583,0.997681928527428,14.185162946799725,0.006393023638933328,230.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,117,944,1572,0.9970381658876565,14.636936391619434,0.006911114205683543,418.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,118,942,1570,0.9976601784166412,14.36483322812678,0.008711154829318866,208.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,119,953,1588,0.9983456668435196,14.675845289363243,0.0054596859756939065,211.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,120,954,1589,0.9977918414863698,14.720219580519029,0.017667525912793625,458.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,121,953,1587,0.9976678898077591,14.589569179341833,0.007909746934077014,221.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,122,959,1597,0.9969120397192182,14.752042665473066,0.02445916348257837,259.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,123,963,1604,0.9973538544999814,15.06944143607085,0.004789027030882173,264.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,124,956,1592,0.9941448668304015,15.29428850415863,0.009045040283497596,492.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,125,961,1601,0.9963808557531051,14.924143467177359,0.02166346234223776,277.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,126,966,1610,0.996299855309264,14.745537932776122,0.005808850020085331,229.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,127,953,1587,0.9946970637353928,14.79499570847616,0.011091284684580243,501.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,128,972,1619,0.9952684892579309,14.686748431486091,0.010843723073298098,243.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,129,973,1621,0.9965071750397143,14.380094777501174,0.025879839656541986,234.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,130,955,1591,0.9959555172355169,14.626391872854219,0.004362240174194371,211.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,131,967,1611,0.9968194998477216,14.968978449258111,0.004907602455603623,454.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,132,968,1612,0.9963246933665558,14.876890761834172,0.008559835989408064,227.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,133,962,1602,0.996229671382333,14.725644070679209,0.008372042083336695,218.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,134,959,1597,0.9965754701728627,14.05185108524341,0.0014222893043098043,215.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,135,961,1601,0.9967127537718902,14.665704282594112,0.006561151533437886,466.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,136,950,1583,0.9963377940313077,14.191241827258693,0.0073001612466832115,215.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,137,969,1614,0.9961069862185874,14.73013777764587,0.008051030624327212,219.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,138,978,1629,0.9976619795040079,14.538104147506752,0.008667456946182654,388.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,139,965,1608,0.9969780049743395,15.090809625888156,0.002269325259495582,205.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,140,974,1623,0.996923883150827,14.658373092056745,0.0018179700924393532,207.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,141,972,1620,0.9967088551090694,15.081226804806468,0.0048809214182805784,212.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,142,968,1613,0.9964290421584963,14.864863270922678,0.007528751268304374,361.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,143,970,1616,0.9968329120585817,15.550784336549643,0.0030954563415491057,205.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,144,962,1603,0.9965776973518916,15.543765927834315,0.01070736209501283,201.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,145,971,1617,0.9968003180944398,15.165310249191652,0.006141396845154622,293.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,146,964,1606,0.996749066797332,15.257861599287745,0.0032416882617684506,233.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,147,975,1624,0.9974051198056219,15.686356940175633,0.0031718596705335358,216.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,148,976,1626,0.9974243984870318,15.43984333150035,0.011207459046150043,211.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,149,973,1621,0.9966047191758,15.630258080237478,0.007223634514614839,326.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,150,966,1610,0.9966035453574963,15.553368938632474,0.00807357347860824,216.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,151,966,1610,0.9949934745421181,15.406720773698856,0.02277047057098662,220.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,152,981,1635,0.9955587135487676,15.726724516076123,0.005472379410276585,212.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,153,979,1631,0.9964631742961066,16.125428118796442,0.0031025209936469157,434.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,154,977,1628,0.9967887366282335,16.77639106532156,0.01555327225183297,213.1,True,0,1,ECMP,1,1,0
