action,emergency_budget_type,emergency_budget_pct,emergency_cap,paths_used_in_lp,path_library_k,cycle,selected_od_count,active_od_count,PR,MLU,DB,decision_ms,exceeds_literal_K50_condition,all_od_lp_used,selected_od_lp_used,nonselected_policy,gnn_lpd_used,dqn_used_at_inference,rf_used_at_inference
EMERGENCY,percentage,60,2400,3,8,259,1412,2352,1.0,0.4455358154005622,0.0010649277711235424,380.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,260,1412,2352,1.0,0.44866398678512537,7.476023802129294e-06,402.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,261,1412,2352,0.9999999999999999,0.4399610725156925,0.0003871092007925191,417.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,262,1412,2352,1.0,0.44412529799690686,6.425702613334366e-05,470.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,263,1412,2352,0.9999999999999999,0.4582427260579457,2.105351983497762e-06,355.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,264,1412,2352,1.0,0.44604873099853937,0.00025327393233245206,339.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,265,1412,2352,1.0,0.4567546483158698,0.00021335557574586681,451.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,266,1412,2352,1.0,0.4563827144102758,0.00020916967189483788,350.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,267,1412,2352,1.0,0.45905107120758415,0.0004652895818980742,436.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,268,1412,2352,1.0,0.4655374246022658,0.00039191902367229916,354.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,269,1412,2352,1.0,0.47169907070873546,0.0001962997115534155,447.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,270,1412,2352,1.0,0.47253720436518054,0.0003382843407376484,352.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,271,1412,2352,1.0,0.4812179761550851,0.00010605096361361385,371.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,272,1412,2352,1.0,0.4883809889542916,0.00033186822246324057,403.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,273,1412,2352,1.0,0.5004347304633986,0.00013684892134507628,354.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,274,1412,2352,1.0,0.49275311791784004,0.0002939497898761326,459.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,275,1412,2352,1.0,0.5068398124935591,0.00024950435526202135,362.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,276,1412,2352,1.0,0.5275272075041701,0.00020036645263030002,398.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,277,1412,2352,1.0,0.5191914030205601,3.1208991913311365e-05,592.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,278,1412,2352,0.9999999999999998,0.5434769355172068,3.191661762118794e-05,326.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,279,1412,2352,1.0,0.5524952084800541,0.00017908940397263955,475.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,280,1412,2352,1.0,0.579458350710925,0.0002967253339769786,314.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,281,1412,2352,1.0,0.5833719573609513,0.00015290909582039156,375.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,282,1412,2352,1.0,0.5960646055352686,0.0005742354087750293,298.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,283,1412,2352,1.0,0.6148856970724346,1.816626917532276e-05,343.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,284,1412,2352,1.0,0.6297130418922757,0.0010074542984303907,383.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,285,1412,2352,1.0,0.6486577455422691,0.0010369704689457394,300.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,286,1412,2352,1.0,0.6608055512298304,0.0011535690373817372,557.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,287,1412,2352,1.0,0.6812562133286432,0.000895702920560165,291.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,288,1412,2352,1.0,0.7025597985776468,0.0004159445299386409,306.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,289,1412,2352,1.0,0.7080423128088985,0.0011050230568624068,383.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,290,1412,2352,1.0,0.7323936871965377,0.0008068309601687636,314.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,291,1412,2352,1.0,0.7379997776689111,0.0005629990885272714,380.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,292,1412,2352,1.0,0.7468820717038097,0.0006234511686556187,290.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,293,1412,2352,1.0,0.7645747700201299,0.00034985804573076107,491.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,294,1412,2352,1.0,0.757989464436324,0.00028705508879391827,326.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,295,1412,2352,1.0,0.7688148198990665,0.0006042131434513216,324.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,296,1412,2352,1.0,0.7660595859355231,0.001099131165540979,398.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,297,1412,2352,1.0,0.764488535153738,0.0006086932896355968,339.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,298,1412,2352,1.0,0.7748717684541316,0.0013927122638774144,482.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,299,1412,2352,1.0,0.7586797024414481,0.0008622623659021436,328.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,300,1412,2352,1.0,0.7630186743487214,0.0007260961355599939,376.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,301,1412,2352,1.0,0.7497280186075603,0.0007030825478765483,305.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,302,1412,2352,1.0,0.7547625518096814,0.0003108154919544566,319.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,303,1412,2352,1.0,0.7448654457956964,0.00022226460883239976,475.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,304,1412,2352,1.0,0.7392098480864095,0.0011856510136745392,347.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,305,1412,2352,1.0,0.7499245487960915,0.00047987799028582304,454.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,306,1412,2352,1.0,0.7495871591645219,0.0006802731538208439,373.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,307,1412,2352,1.0,0.7472679049137587,0.0005401576474067328,354.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,308,1412,2352,0.9932607583729313,0.7468772221075044,0.0018373326392515266,444.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,309,1412,2352,1.0,0.7441351846043002,0.0010761614452167235,333.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,310,1412,2352,1.0,0.7422795519817061,0.00036877827974738877,422.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,311,1412,2352,1.0,0.7403002137299975,0.0009442845371527675,337.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,312,1412,2352,1.0,0.7370218942722409,0.0011221860070821591,376.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,313,1412,2352,1.0,0.7342753583942071,0.00020634482145656232,440.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,314,1412,2352,1.0,0.7211969671353698,0.002142849060946728,360.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,315,1412,2352,1.0,0.7273784633230672,0.00047275498843509997,453.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,316,1412,2352,1.0,0.713087246842515,0.0011506686669326908,399.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,317,1412,2352,1.0,0.6957650655886508,0.0025800079700092128,552.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,318,1412,2352,1.0,0.691698528042021,0.0017990805020981176,457.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,319,1412,2352,1.0,0.6885781306449995,0.0006065334359417519,385.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,320,1412,2352,1.0,0.6768577311541143,0.0015377329275199855,563.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,321,1412,2352,0.9999999999999999,0.6704237342091818,0.001002508959616047,416.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,322,1412,2352,1.0,0.659989927336347,0.001186848602267887,557.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,323,1412,2352,1.0,0.6523682689034761,0.0008813054122393352,455.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,324,1412,2352,1.0,0.6444393743092148,0.0006062397815755217,472.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,325,1412,2352,1.0,0.6331512383294899,0.002355457171892537,489.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,326,1412,2352,1.0,0.6245993023579991,0.0008546323148548187,422.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,327,1412,2352,1.0,0.6086989143590494,0.0014105614203252911,685.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,328,1412,2352,1.0,0.6056304934572432,0.006071746953626226,490.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,329,1412,2352,1.0,0.5920459872333317,0.005602638303444477,764.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,330,1412,2352,1.0,0.6075094692799389,0.0013851464926847275,544.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,331,1412,2352,1.0,0.5943664472017218,0.0015528770077125073,537.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,332,1412,2352,1.0,0.6091873613490866,0.0001455512047403835,632.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,333,1412,2352,1.0,0.5848018574428648,0.0017442714090288194,446.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,334,1412,2352,1.0,0.5738588433211607,0.002133996005622778,571.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,335,1412,2352,1.0,0.5692357675055542,0.001308554201583329,532.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,336,1412,2352,1.0,0.5686743481860888,0.0010341779218631436,441.5,True,0,1,ECMP,1,1,0
