topology,tm_index,action,selected_k,num_non_ecmp_ods_current,PR,DB,decision_time_ms
abilene,2163,EMERGENCY,50,50,0.9874773582366682,0.0182372768406818,17.7
abilene,2164,EMERGENCY,50,50,0.9931393774474296,0.0040947512231852,18.0
abilene,2165,EMERGENCY,50,50,1.0,0.0033124078739888,17.0
abilene,2166,EMERGENCY,50,50,1.0,0.0071450245621992,19.8
abilene,2167,EMERGENCY,50,50,0.9840416923736164,0.0003931071714935,18.4
abilene,2168,EMERGENCY,50,50,0.9935921231916792,0.0039281512922384,19.2
abilene,2169,EMERGENCY,50,50,1.0,0.0071343638100274,17.7
abilene,2170,EMERGENCY,50,50,1.0,0.0066325086460025,16.2
abilene,2171,EMERGENCY,50,50,1.0,0.008054492822652,17.4
abilene,2172,EMERGENCY,50,50,1.0,0.0064940059665014,15.9
abilene,2173,EMERGENCY,50,50,1.0,0.0051260507719297,16.7
abilene,2174,EMERGENCY,50,50,1.0,0.0086985184990824,19.7
abilene,2175,EMERGENCY,50,50,1.0,0.0073585123922672,19.6
abilene,2176,EMERGENCY,50,50,1.0,0.0033955316157403,17.2
abilene,2177,EMERGENCY,50,50,0.992500659656714,0.0079199388782692,17.0
abilene,2178,EMERGENCY,50,50,0.9951886639116416,0.0020835741827377,19.4
abilene,2179,EMERGENCY,50,50,1.0,0.0028625993677465,16.7
abilene,2180,EMERGENCY,50,50,1.0,0.0025319741677438,17.5
abilene,2181,EMERGENCY,50,50,1.0,0.0024690313755704,16.8
abilene,2182,EMERGENCY,50,50,0.9997246799710704,0.0013372221253352,17.6
abilene,2183,EMERGENCY,50,50,1.0,0.001773639837014,17.5
abilene,2184,EMERGENCY,50,50,1.0,0.0042472097230373,16.4
abilene,2185,EMERGENCY,50,50,1.0,0.003205556290826,18.5
abilene,2186,EMERGENCY,50,50,1.0,0.0096080957795025,17.2
abilene,2187,EMERGENCY,50,50,1.0,0.0004187896480499,16.7
abilene,2188,EMERGENCY,50,50,1.0,0.0039157115853646,17.2
abilene,2189,EMERGENCY,50,50,1.0,0.0071754201421101,16.0
abilene,2190,EMERGENCY,50,50,1.0,0.0021697151521255,300.7
abilene,2191,EMERGENCY,50,50,1.0,0.004342508586746,16.6
abilene,2192,OPTIMIZE_K40,40,40,0.9999999999999996,0.0160336172243244,13.7
abilene,2193,OPTIMIZE_K40,40,40,0.9999999999999998,0.0114297321440489,15.1
abilene,2194,EMERGENCY,50,50,1.0,0.0256119206921817,16.5
abilene,2195,EMERGENCY,50,50,1.0,0.0098010840618304,15.8
abilene,2196,EMERGENCY,50,50,1.0,0.0052568663210255,15.6
abilene,2197,EMERGENCY,50,50,1.0,0.0087458132763736,16.0
abilene,2198,EMERGENCY,50,50,1.0,0.0063805353839895,20.7
abilene,2199,EMERGENCY,50,50,1.0,0.0032075925096545,17.0
abilene,2200,EMERGENCY,50,50,1.0,0.0034756419944957,16.0
abilene,2201,EMERGENCY,50,50,1.0,0.0003213178793735,16.8
abilene,2202,EMERGENCY,50,50,1.0,0.0049244030979903,16.7
abilene,2203,EMERGENCY,50,50,1.0,0.0017757614622694,16.3
abilene,2204,EMERGENCY,50,50,1.0,0.0058789208898861,18.2
abilene,2205,OPTIMIZE_K40,40,40,1.0,0.0135756607815013,15.5
abilene,2206,EMERGENCY,50,50,1.0,0.0007084180781433,16.9
abilene,2207,EMERGENCY,50,50,0.9999999999999998,0.0029986311643661,16.7
